s,Pa,rpm
0.63101563,-0.328636229038239,732.179644313362
0.63103516,-0.319141745567322,732.179957986057
0.63105469,-0.331084638834,732.180271658752
0.63107422,-0.317766398191452,732.180585331448
0.63109375,-0.314006090164185,732.180899004143
0.63111328,-0.306573122739792,732.181212676838
0.63113281,-0.307706654071808,732.181526349534
0.63115234,-0.293826162815094,732.181840022229
0.63117188,-0.297350704669952,732.182153694924
0.63119141,-0.281970947980881,732.18246736762
0.63121094,-0.28859680891037,732.182781040315
0.63123047,-0.275955647230148,732.18309471301
0.63125000,-0.281707942485809,732.183408385706
0.63126953,-0.276260942220688,732.183722058401
0.63128906,-0.27434453368187,732.184035731096
0.63130859,-0.268764525651932,732.184349403791
0.63132813,-0.26619216799736,732.184663076487
0.63134766,-0.266189128160477,732.184976749182
